datetime,action,side,volume,price,layer,pnl
2023-08-30 12:00:00+00:00,take_profit,buy,0.01,1942.82,,3.5
2023-09-01 04:00:00+00:00,fill,buy,0.01,1938.53,1.0,
2023-09-01 07:00:00+00:00,take_profit,buy,0.01,1942.03,,3.5
2023-09-05 01:00:00+00:00,fill,buy,0.01,1936.16,1.0,
2023-09-05 08:00:00+00:00,fill,buy,0.01,1932.66,2.0,
2023-09-05 12:00:00+00:00,fill,buy,0.01,1929.16,3.0,
2023-09-05 13:00:00+00:00,take_profit,buy,0.01,1932.66,,3.5
2023-09-06 07:00:00+00:00,take_profit,sell,0.01,1922.82,,3.5
2023-09-06 14:00:00+00:00,take_profit,sell,0.01,1916.98,,3.5
2023-09-06 14:00:00+00:00,take_profit,sell,0.01,1920.48,,3.5
2023-09-08 02:00:00+00:00,fill,sell,0.01,1926.45,1.0,
2023-09-08 11:00:00+00:00,take_profit,sell,0.01,1922.95,,3.5
2023-09-11 07:00:00+00:00,fill,sell,0.01,1929.95,2.0,
2023-09-11 08:00:00+00:00,take_profit,sell,0.01,1926.45,,3.5
2023-09-12 12:00:00+00:00,take_profit,sell,0.01,1909.89,,3.5
2023-09-14 14:00:00+00:00,fill,sell,0.01,1907.88,1.0,
2023-09-14 16:00:00+00:00,fill,sell,0.01,1911.38,2.0,
2023-09-15 01:00:00+00:00,fill,sell,0.01,1914.88,3.0,
2023-09-19 10:00:00+00:00,take_profit,buy,0.01,1936.16,,3.5
2023-09-19 14:00:00+00:00,fill,buy,0.01,1931.65,1.0,
2023-09-20 07:00:00+00:00,fill,buy,0.01,1928.15,2.0,
2023-09-20 09:00:00+00:00,take_profit,buy,0.01,1931.65,,3.5
2023-09-20 13:00:00+00:00,take_profit,buy,0.01,1939.66,,3.5
2023-09-20 13:00:00+00:00,take_profit,buy,0.01,1935.15,,3.5
2023-09-25 05:00:00+00:00,fill,buy,0.01,1921.69,1.0,
2023-09-25 07:00:00+00:00,take_profit,buy,0.01,1925.19,,3.5
2023-09-25 14:00:00+00:00,fill,buy,0.01,1918.19,2.0,
2023-09-26 00:00:00+00:00,fill,buy,0.01,1914.69,3.0,
2023-09-26 06:00:00+00:00,take_profit,sell,0.01,1911.38,,3.5
2023-09-26 08:00:00+00:00,fill,sell,0.01,1915.42,1.0,
2023-09-26 10:00:00+00:00,take_profit,sell,0.01,1911.92,,3.5
2023-09-26 12:00:00+00:00,take_profit,sell,0.01,1907.88,,3.5
2023-09-26 15:00:00+00:00,take_profit,sell,0.01,1904.38,,3.5
2023-10-09 00:00:00+00:00,fill,sell,0.01,1852.03,1.0,
2023-10-09 01:00:00+00:00,take_profit,sell,0.01,1848.53,,3.5
2023-10-09 06:00:00+00:00,fill,sell,0.01,1854.04,1.0,
2023-10-09 07:00:00+00:00,take_profit,sell,0.01,1850.54,,3.5
2023-10-09 17:00:00+00:00,fill,sell,0.01,1853.62,1.0,
2023-10-09 18:00:00+00:00,fill,sell,0.01,1855.53,2.0,
2023-10-09 19:00:00+00:00,fill,sell,0.01,1859.03,3.0,
2023-10-10 06:00:00+00:00,take_profit,sell,0.01,1855.53,,3.5
2023-10-10 15:00:00+00:00,fill,sell,0.01,1862.09,1.0,
2023-10-10 16:00:00+00:00,take_profit,sell,0.01,1858.59,,3.5
2023-10-11 07:00:00+00:00,fill,sell,0.01,1865.59,2.0,
2023-10-11 08:00:00+00:00,fill,sell,0.01,1869.09,3.0,
2023-10-13 12:00:00+00:00,take_profit,buy,0.01,1918.19,,3.5
2023-10-13 14:00:00+00:00,take_profit,buy,0.01,1919.39,,1.2000000000000455
2023-10-15 23:00:00+00:00,fill,buy,0.01,1922.63,1.0,
2023-10-16 02:00:00+00:00,fill,buy,0.01,1919.13,2.0,
2023-10-16 05:00:00+00:00,fill,buy,0.01,1915.63,3.0,
2023-10-16 12:00:00+00:00,take_profit,buy,0.01,1922.63,,3.5
2023-10-16 12:00:00+00:00,take_profit,buy,0.01,1919.13,,3.5
2023-10-17 01:00:00+00:00,fill,buy,0.01,1913.54,1.0,
2023-10-17 06:00:00+00:00,take_profit,buy,0.01,1917.04,,3.5
